,Review
150,"I don't think that my review of this hotel can encapsulate my true gratitude toward the staff at this hotel, however I am going to try. To begin, the property itself is gorgeous.  Built about a year ago, it is clean, modern, and in an excellent location. Now, let me provide the…"
151,"This hotel has done a lot right.  They are fairly new, and the staff are all very friendly.  You enter on the ground floor and have to go to the 7th floor to check in.  Although some may find this annoying, as you have to take 2 different elevators, from a safety perspective…"
152,"This is a great hotel in an even better location. It's right on the metro so transportation around town isn't a problem. Also there is always something going on near the harbor including sports, concerts, and festivals. It's a great new hip portion of Buffalo. "
153,"Great Hotel in the middle/close to everything downtown Buffalo. Hockey Arena, Harbor, Casino and warships all within walking distance from hotel. Nice little breezeway for walking along the harbor. The rooms in the hotel are really nice. Great views from either side. Also, there…"
154,Fantastic facility. Kim and the restaurant/ bar staff are complete professionals. If you are in downtown Buffalo this place should not be missed.  Great views of the harbor and the food and drinks are top notch. 
155,"I knew this was a newer Marriott, but I was surprised -- pleasantly surprised -- at just how new this hotel was.  While it's been open for a year, it still felt like it just opened.   I was also pleasantly surprised at the excellent staff; most of whom seemed young and…"
156,"New hotel overlooking Canalside in Buffalo & connected to the hockey arena. Rooms are very clean and spacious. Room service was prompt & the food was great. Quaint shops with Buffalo flair located on the lower level, not to mention Tim Hortons! They have an impressive setup for…"
157,One of the nicest Marriot's you will find. Perfect location if you are staying downtown for a Sabres game or Canalside event. Extremely modern rooms with fabulous views of Lake Erie and downtown Buffalo. Would highly recommend it.
158,This is definitely the best hotel in Buffalo. It is a great hotel with very comfortable beds.  The only downside the hotel has it that the check in is not on the ground floor which i see to be a pain sometimes.
159,"I booked this hotel for 2 nights for a trip to Niagara Falls with my mother.  It was the most awesome experience.  We stayed on the 16th floor with a view of Lake Erie that was simply beautiful.  Everything about this hotel is awesome, EVERYTHING!"
160,"Spacious rooms. Very friendly staff. Top notch service.  Front desk staff, reward's club hosts, cleaning staff and valet were all excellent. Great views! I will definitely stay here when I'm in Buffalo again! Visit Niagara Falls while in the area! "
161,"Clean, modern and easy access to hockey rink!  We stay at the Marriott Harborcenter each time we visit Buffalo.  Very nice property with modern rooms and decor.  Walk to hockey rink entrance.  Away teams often stay here as Ive bumped into my favorite players several times in the…"
162,"The new Marriot is in a great location for downtown Buffalo. It is an easy walk to the waterfront. The ice rinks are on lower levels and during hockey season Sabres players can be spotted in the lobby or club room. The room was big, clean and had a city view. The bed was very…"
163,"Really liked this hotel. Very clean and modern. Excellent service by all the staff we encountered. Might need more dining options, as there was nothing available on a busy Saturday for dinner. Rooms were quite nice. We had a view which was nice. Showers had poor water pressure.…"
164,I stayed at the Buffalo Marriott Harbor Center for a weekend in August. They charge $10 a day for Wi-Fi which is free at many other hotels. They also charge $18 a day for parking which is ridiculous because there's really no other place to park in that area. Just off the lobby…
